q		だ
ふょぱe	がぶぶ
ふょぱs	がぶぐ
ふょs		がぐ
がぐe		ふょぷ
ふょぷs	がぐへ
ふょぷf	がぐぱ
がぐf		ふょぼ
ふょぼe	がぐぶ
ふょぼs	がぐぐ
t		を
をe		うぇ
うぇs		をへ
をへe		うぇぷ
うぇぷs	をへへ
うぇぷf	をへぱ
をへf		うぇぼ
うぇぼe	をへぶ
うぇぼs	をへぐ
うぇf		をぱ
をぱe		うぇぶ
うぇぶs	をぱへ
うぇぶf	をぱぱ
をぱs		うぇぐ
うぇぐe	をぱぷ
うぇぐf	をぱぼ
をs		うぃ
うぃe		をぷ
をぷs		うぃへ
うぃへe	をぷぷ
うぃへf	をぷぼ
をぷf		うぃぱ
うぃぱe	をぷぶ
うぃぱs	をぷぐ
うぃf		をぼ
をぼe		うぃぶ
うぃぶs	をぼへ
うぃぶf	をぼぱ
をぼs		うぃぐ
うぃぐe	をぼぷ
うぃぐf	をぼぼ
をf		うぉ
うぉe		をぶ
をぶs		うぉへ
うぉへe	をぶぷ
うぉへf	をぶぼ
をぶf		うぉぱ
うぉぱe	をぶぶ
うぉぱs	をぶぐ
うぉs		をぐ
をぐe		うぉぷ
うぉぷs	をぐへ
うぉぷf	をぐぱ
をぐf		うぉぼ
うぉぼe	をぐぶ
うぉぼs	をぐぐ
u		き
きe	き	ゃ
きs	き	ょ
きf	き	ゅ
i		ん
んe		む
むs		んへ
んへe		むぷ
むぷs	んへへ
むぷf	んへぱ
んへf		むぼ
むぼe	んへぶ
むぼs	んへぐ
むf		んぱ
んぱe		むぶ
むぶs	んぱへ
むぶf	んぱぱ
んぱs		むぐ
むぐe	んぱぷ
むぐf	んぱぼ
んs		ろ
ろe		んぷ
んぷs		ろへ
ろへe	んぷぷ
ろへf	んぷぼ
んぷf		ろぱ
ろぱe	んぷぶ
ろぱs	んぷぐ
ろf		んぼ
んぼe		ろぶ
ろぶs	んぼへ
ろぶf	んぼぱ
んぼs		ろぐ
ろぐe	んぼぷ
ろぐf	んぼぼ
んf		ゆ
ゆe		んぶ
んぶs		ゆへ
ゆへe	んぶぷ
ゆへf	んぶぼ
んぶf		ゆぱ
ゆぱe	んぶぶ
ゆぱs	んぶぐ
ゆs		んぐ
んぐe		ゆぷ
ゆぷs	んぐへ
ゆぷf	んぐぱ
んぐf		ゆぼ
ゆぼe	んぐぶ
ゆぼs	んぐぐ
o		た
たe		せ
せs		たへ
たへe		せぷ
せぷs	たへへ
せぷf	たへぱ
たへf		せぼ
せぼe	たへぶ
せぼs	たへぐ
せf		たぱ
たぱe		せぶ
せぶs	たぱへ
せぶf	たぱぱ
たぱs		せぐ
せぐe	たぱぷ
せぐf	たぱぼ
たs		そ
そe		たぷ
たぷs		そへ
そへe	たぷぷ
そへf	たぷぼ
たぷf		そぱ
そぱe	たぷぶ
そぱs	たぷぐ
そf		たぼ
たぼe		そぶ
そぶs	たぼへ
そぶf	たぼぱ
たぼs		そぐ
そぐe	たぼぷ
そぐf	たぼぼ
たf		さ
さe		たぶ
たぶs		さへ
さへe	たぶぷ
さへf	たぶぼ
たぶf		さぱ
さぱe	たぶぶ
さぱs	たぶぐ
さs		たぐ
たぐe		さぷ
さぷs	たぐへ
さぷf	たぐぱ
たぐf		さぼ
さぼe	たぐぶ
さぼs	たぐぐ
p		つ
つe		じゃ
じゃs		つへ
つへe		じゃぷ
じゃぷs	つへへ
じゃぷf	つへぱ
つへf		じゃぼ
じゃぼe	つへぶ
じゃぼs	つへぐ
じゃf		つぱ
つぱe		じゃぶ
じゃぶs	つぱへ
じゃぶf	つぱぱ
つぱs		じゃぐ
じゃぐe	つぱぷ
じゃぐf	つぱぼ
つs		じょ
じょe		つぷ
つぷs		じょへ
じょへe	つぷぷ
じょへf	つぷぼ
つぷf		じょぱ
じょぱe	つぷぶ
じょぱs	つぷぐ
じょf		つぼ
つぼe		じょぶ
じょぶs	つぼへ
じょぶf	つぼぱ
つぼs		じょぐ
じょぐe	つぼぷ
じょぐf	つぼぼ
つf		じゅ
じゅe		つぶ
つぶs		じゅへ
じゅへe	つぶぷ
じゅへf	つぶぼ
つぶf		じゅぱ
じゅぱe	つぶぶ
じゅぱs	つぶぐ
じゅs		つぐ
つぐe		じゅぷ
じゅぷs	つぐへ
じゅぷf	つぐぱ
つぐf		じゅぼ
じゅぼe	つぐぶ
じゅぼs	つぐぐ
@		ち
[		ち
ちe	ち	ゃ
ちs	ち	ょ
ちf	ち	ゅ
a		に
にe	に	ゃ
にs	に	ょ
にf	に	ゅ
s		・
・e		ぷ
ぷs		・へ
・へe		ぷぷ
ぷぷs	・へへ
ぷぷf	・へぱ
・へf		ぷぼ
ぷぼe	・へぶ
ぷぼs	・へぐ
ぷf		・ぱ
・ぱe		ぷぶ
ぷぶs	・ぱへ
ぷぶf	・ぱぱ
・ぱs		ぷぐ
ぷぐe	・ぱぷ
ぷぐf	・ぱぼ
・f		ぼ
ぼe		・ぶ
・ぶs		ぼへ
ぼへe	・ぶぷ
ぼへf	・ぶぼ
・ぶf		ぼぱ
ぼぱe	・ぶぶ
ぼぱs	・ぶぐ
ぼs		・ぐ
・ぐe		ぼぷ
ぼぷs	・ぐへ
ぼぷf	・ぐぱ
・ぐf		ぼぼ
ぼぼe	・ぐぶ
ぼぼs	・ぐぐ
d		う
うe		じぇ
じぇs		うへ
うへe		じぇぷ
じぇぷs	うへへ
じぇぷf	うへぱ
うへf		じぇぼ
じぇぼe	うへぶ
じぇぼs	うへぐ
じぇf		うぱ
うぱe		じぇぶ
じぇぶs	うぱへ
じぇぶf	うぱぱ
うぱs		じぇぐ
じぇぐe	うぱぷ
じぇぐf	うぱぼ
うs		べ
べe		うぷ
うぷs		べへ
べへe	うぷぷ
べへf	うぷぼ
うぷf		べぱ
べぱe	うぷぶ
べぱs	うぷぐ
べf		うぼ
うぼe		べぶ
べぶs	うぼへ
べぶf	うぼぱ
うぼs		べぐ
べぐe	うぼぷ
べぐf	うぼぼ
うf		ば
ばe		うぶ
うぶs		ばへ
ばへe	うぶぷ
ばへf	うぶぼ
うぶf		ばぱ
ばぱe	うぶぶ
ばぱs	うぶぐ
ばs		うぐ
うぐe		ばぷ
ばぷs	うぐへ
ばぷf	うぐぱ
うぐf		ばぼ
ばぼe	うぐぶ
ばぼs	うぐぐ
f		。
。e		ぶ
ぶs		。へ
。へe		ぶぷ
ぶぷs	。へへ
ぶぷf	。へぱ
。へf		ぶぼ
ぶぼe	。へぶ
ぶぼs	。へぐ
ぶf		。ぱ
。ぱe		ぶぶ
ぶぶs	。ぱへ
ぶぶf	。ぱぱ
。ぱs		ぶぐ
ぶぐe	。ぱぷ
ぶぐf	。ぱぼ
。s		ぐ
ぐe		。ぷ
。ぷs		ぐへ
ぐへe	。ぷぷ
ぐへf	。ぷぼ
。ぷf		ぐぱ
ぐぱe	。ぷぶ
ぐぱs	。ぷぐ
ぐf		。ぼ
。ぼe		ぐぶ
ぐぶs	。ぼへ
ぐぶf	。ぼぱ
。ぼs		ぐぐ
ぐぐe	。ぼぷ
ぐぐf	。ぼぼ
g		て
てe		とぅ
とぅs		てへ
てへe		とぅぷ
とぅぷs	てへへ
とぅぷf	てへぱ
てへf		とぅぼ
とぅぼe	てへぶ
とぅぼs	てへぐ
とぅf		てぱ
てぱe		とぅぶ
とぅぶs	てぱへ
とぅぶf	てぱぱ
てぱs		とぅぐ
とぅぐe	てぱぷ
とぅぐf	てぱぼ
てs		てぃ
てぃe		てぷ
てぷs		てぃへ
てぃへe	てぷぷ
てぃへf	てぷぼ
てぷf		てぃぱ
てぃぱe	てぷぶ
てぃぱs	てぷぐ
てぃf		てぼ
てぼe		てぃぶ
てぃぶs	てぼへ
てぃぶf	てぼぱ
てぼs		てぃぐ
てぃぐe	てぼぷ
てぃぐf	てぼぼ
てf	て	ゅ
h		こ
こe		ぜ
ぜs		こへ
こへe		ぜぷ
ぜぷs	こへへ
ぜぷf	こへぱ
こへf		ぜぼ
ぜぼe	こへぶ
ぜぼs	こへぐ
ぜf		こぱ
こぱe		ぜぶ
ぜぶs	こぱへ
ぜぶf	こぱぱ
こぱs		ぜぐ
ぜぐe	こぱぷ
ぜぐf	こぱぼ
こs		ぞ
ぞe		こぷ
こぷs		ぞへ
ぞへe	こぷぷ
ぞへf	こぷぼ
こぷf		ぞぱ
ぞぱe	こぷぶ
ぞぱs	こぷぐ
ぞf		こぼ
こぼe		ぞぶ
ぞぶs	こぼへ
ぞぶf	こぼぱ
こぼs		ぞぐ
ぞぐe	こぼぷ
ぞぐf	こぼぼ
こf		ざ
ざe		こぶ
こぶs		ざへ
ざへe	こぶぷ
ざへf	こぶぼ
こぶf		ざぱ
ざぱe	こぶぶ
ざぱs	こぶぐ
ざs		こぐ
こぐe		ざぷ
ざぷs	こぐへ
ざぷf	こぐぱ
こぐf		ざぼ
ざぼe	こぐぶ
ざぼs	こぐぐ
k		い
いe		め
めs		いへ
いへe		めぷ
めぷs	いへへ
めぷf	いへぱ
いへf		めぼ
めぼe	いへぶ
めぼs	いへぐ
めf		いぱ
いぱe		めぶ
めぶs	いぱへ
めぶf	いぱぱ
いぱs		めぐ
めぐe	いぱぷ
めぐf	いぱぼ
いs		ら
らe		いぷ
いぷs		らへ
らへe	いぷぷ
らへf	いぷぼ
いぷf		らぱ
らぱe	いぷぶ
らぱs	いぷぐ
らf		いぼ
いぼe		らぶ
らぶs	いぼへ
らぶf	いぼぱ
いぼs		らぐ
らぐe	いぼぷ
らぐf	いぼぼ
いf		お
おe		いぶ
いぶs		おへ
おへe	いぶぷ
おへf	いぶぼ
いぶf		おぱ
おぱe	いぶぶ
おぱs	いぶぐ
おs		いぐ
いぐe		おぷ
おぷs	いぐへ
おぷf	いぐぱ
いぐf		おぼ
おぼe	いぐぶ
おぼs	いぐぐ
l		と
とe		け
けs		とへ
とへe		けぷ
けぷs	とへへ
けぷf	とへぱ
とへf		けぼ
けぼe	とへぶ
けぼs	とへぐ
けf		とぱ
とぱe		けぶ
けぶs	とぱへ
けぶf	とぱぱ
とぱs		けぐ
けぐe	とぱぷ
けぐf	とぱぼ
とs		え
えe		とぷ
とぷs		えへ
えへe	とぷぷ
えへf	とぷぼ
とぷf		えぱ
えぱe	とぷぶ
えぱs	とぷぐ
えf		とぼ
とぼe		えぶ
えぶs	とぼへ
えぶf	とぼぱ
とぼs		えぐ
えぐe	とぼぷ
えぐf	とぼぼ
とf		ど
どe		とぶ
とぶs		どへ
どへe	とぶぷ
どへf	とぶぼ
とぶf		どぱ
どぱe	とぶぶ
どぱs	とぶぐ
どs		とぐ
とぐe		どぷ
どぷs	とぐへ
どぷf	とぐぱ
とぐf		どぼ
どぼe	とぐぶ
どぼs	とぐぐ
;		く
くe		げ
げs		くへ
くへe		げぷ
げぷs	くへへ
げぷf	くへぱ
くへf		げぼ
げぼe	くへぶ
げぼs	くへぐ
げf		くぱ
くぱe		げぶ
げぶs	くぱへ
げぶf	くぱぱ
くぱs		げぐ
げぐe	くぱぷ
げぐf	くぱぼ
くs		ご
ごe		くぷ
くぷs		ごへ
ごへe	くぷぷ
ごへf	くぷぼ
くぷf		ごぱ
ごぱe	くぷぶ
ごぱs	くぷぐ
ごf		くぼ
くぼe		ごぶ
ごぶs	くぼへ
ごぶf	くぼぱ
くぼs		ごぐ
ごぐe	くぼぷ
ごぐf	くぼぼ
くf		ず
ずe		くぶ
くぶs		ずへ
ずへe	くぶぷ
ずへf	くぶぼ
くぶf		ずぱ
ずぱe	くぶぶ
ずぱs	くぶぐ
ずs		くぐ
くぐe		ずぷ
ずぷs	くぐへ
ずぷf	くぐぱ
くぐf		ずぼ
ずぼe	くぐぶ
ずぼs	くぐぐ
:		り
'		り
りe	り	ゃ
りs	り	ょ
りf	り	ゅ
z		で
でe		どぅ
どぅs		でへ
でへe		どぅぷ
どぅぷs	でへへ
どぅぷf	でへぱ
でへf		どぅぼ
どぅぼe	でへぶ
どぅぼs	でへぐ
どぅf		でぱ
でぱe		どぅぶ
どぅぶs	でぱへ
どぅぶf	でぱぱ
でぱs		どぅぐ
どぅぐe	でぱぷ
どぅぐf	でぱぼ
でs		でぃ
でぃe		でぷ
でぷs		でぃへ
でぃへe	でぷぷ
でぃへf	でぷぼ
でぷf		でぃぱ
でぃぱe	でぷぶ
でぃぱs	でぷぐ
でぃf		でぼ
でぼe		でぃぶ
でぃぶs	でぼへ
でぃぶf	でぼぱ
でぼs		でぃぐ
でぃぐe	でぼぷ
でぃぐf	でぼぼ
でf	で	ゅ
x		も
もe		ちぇ
ちぇs		もへ
もへe		ちぇぷ
ちぇぷs	もへへ
ちぇぷf	もへぱ
もへf		ちぇぼ
ちぇぼe	もへぶ
ちぇぼs	もへぐ
ちぇf		もぱ
もぱe		ちぇぶ
ちぇぶs	もぱへ
ちぇぶf	もぱぱ
もぱs		ちぇぐ
ちぇぐe	もぱぷ
ちぇぐf	もぱぼ
もf		ぽ
ぽe		もぶ
もぶs		ぽへ
ぽへe	もぶぷ
ぽへf	もぶぼ
もぶf		ぽぱ
ぽぱe	もぶぶ
ぽぱs	もぶぐ
ぽs		もぐ
もぐe		ぽぷ
ぽぷs	もぐへ
ぽぷf	もぐぱ
もぐf		ぽぼ
ぽぼe	もぐぶ
ぽぼs	もぐぐ
c		ま
まe		しぇ
しぇs		まへ
まへe		しぇぷ
しぇぷs	まへへ
しぇぷf	まへぱ
まへf		しぇぼ
しぇぼe	まへぶ
しぇぼs	まへぐ
しぇf		まぱ
まぱe		しぇぶ
しぇぶs	まぱへ
しぇぶf	まぱぱ
まぱs		しぇぐ
しぇぐe	まぱぷ
しぇぐf	まぱぼ
まs		ぺ
ぺe		まぷ
まぷs		ぺへ
ぺへe	まぷぷ
ぺへf	まぷぼ
まぷf		ぺぱ
ぺぱe	まぷぶ
ぺぱs	まぷぐ
ぺf		まぼ
まぼe		ぺぶ
ぺぶs	まぼへ
ぺぶf	まぼぱ
まぼs		ぺぐ
ぺぐe	まぼぷ
ぺぐf	まぼぼ
v		の
のe		ぎゃ
ぎゃs		のへ
のへe		ぎゃぷ
ぎゃぷs	のへへ
ぎゃぷf	のへぱ
のへf		ぎゃぼ
ぎゃぼe	のへぶ
ぎゃぼs	のへぐ
ぎゃf		のぱ
のぱe		ぎゃぶ
ぎゃぶs	のぱへ
ぎゃぶf	のぱぱ
のぱs		ぎゃぐ
ぎゃぐe	のぱぷ
ぎゃぐf	のぱぼ
のs		ぎょ
ぎょe		のぷ
のぷs		ぎょへ
ぎょへe	のぷぷ
ぎょへf	のぷぼ
のぷf		ぎょぱ
ぎょぱe	のぷぶ
ぎょぱs	のぷぐ
ぎょf		のぼ
のぼe		ぎょぶ
ぎょぶs	のぼへ
ぎょぶf	のぼぱ
のぼs		ぎょぐ
ぎょぐe	のぼぷ
ぎょぐf	のぼぼ
のf		ぎゅ
ぎゅe		のぶ
のぶs		ぎゅへ
ぎゅへe	のぶぷ
ぎゅへf	のぶぼ
のぶf		ぎゅぱ
ぎゅぱe	のぶぶ
ぎゅぱs	のぶぐ
ぎゅs		のぐ
のぐe		ぎゅぷ
ぎゅぷs	のぐへ
ぎゅぷf	のぐぱ
のぐf		ぎゅぼ
ぎゅぼe	のぐぶ
ぎゅぼs	のぐぐ
b		は
はe		ふぇ
ふぇs		はへ
はへe		ふぇぷ
ふぇぷs	はへへ
ふぇぷf	はへぱ
はへf		ふぇぼ
ふぇぼe	はへぶ
ふぇぼs	はへぐ
ふぇf		はぱ
はぱe		ふぇぶ
ふぇぶs	はぱへ
ふぇぶf	はぱぱ
はぱs		ふぇぐ
ふぇぐe	はぱぷ
ふぇぐf	はぱぼ
はs		ふぃ
ふぃe		はぷ
はぷs		ふぃへ
ふぃへe	はぷぷ
ふぃへf	はぷぼ
はぷf		ふぃぱ
ふぃぱe	はぷぶ
ふぃぱs	はぷぐ
ふぃf		はぼ
はぼe		ふぃぶ
ふぃぶs	はぼへ
ふぃぶf	はぼぱ
はぼs		ふぃぐ
ふぃぐe	はぼぷ
ふぃぐf	はぼぼ
はf		ふゅ
ふゅe		はぶ
はぶs		ふゅへ
ふゅへe	はぶぷ
ふゅへf	はぶぼ
はぶf		ふゅぱ
ふゅぱe	はぶぶ
ふゅぱs	はぶぐ
ふゅs		はぐ
はぐe		ふゅぷ
ふゅぷs	はぐへ
ふゅぷf	はぐぱ
はぐf		ふゅぼ
ふゅぼe	はぐぶ
ふゅぼs	はぐぐ
n		し
しe	し	ゃ
しs	し	ょ
しf	し	ゅ
m		な
なe		ね
ねs		なへ
なへe		ねぷ
ねぷs	なへへ
ねぷf	なへぱ
なへf		ねぼ
ねぼe	なへぶ
ねぼs	なへぐ
ねf		なぱ
なぱe		ねぶ
ねぶs	なぱへ
ねぶf	なぱぱ
なぱs		ねぐ
ねぐe	なぱぷ
ねぐf	なぱぼ
なs		ー
ーe		なぷ
なぷs		ーへ
ーへe	なぷぷ
ーへf	なぷぼ
なぷf		ーぱ
ーぱe	なぷぶ
ーぱs	なぷぐ
ーf		なぼ
なぼe		ーぶ
ーぶs	なぼへ
ーぶf	なぼぱ
なぼs		ーぐ
ーぐe	なぼぷ
ーぐf	なぼぼ
なf		よ
よe		なぶ
なぶs		よへ
よへe	なぶぷ
よへf	なぶぼ
なぶf		よぱ
よぱe	なぶぶ
よぱs	なぶぐ
よs		なぐ
なぐe		よぷ
よぷs	なぐへ
よぷf	なぐぱ
なぐf		よぼ
よぼe	なぐぶ
よぼs	なぐぐ
,		る
るe		ぅ
ぅs		るへ
るへe		ぅぷ
ぅぷs	るへへ
ぅぷf	るへぱ
るへf		ぅぼ
ぅぼe	るへぶ
ぅぼs	るへぐ
ぅf		るぱ
るぱe		ぅぶ
ぅぶs	るぱへ
ぅぶf	るぱぱ
るぱs		ぅぐ
ぅぐe	るぱぷ
ぅぐf	るぱぼ
るs		ぉ
ぉe		るぷ
るぷs		ぉへ
ぉへe	るぷぷ
ぉへf	るぷぼ
るぷf		ぉぱ
ぉぱe	るぷぶ
ぉぱs	るぷぐ
ぉf		るぼ
るぼe		ぉぶ
ぉぶs	るぼへ
ぉぶf	るぼぱ
るぼs		ぉぐ
ぉぐe	るぼぷ
ぉぐf	るぼぼ
るf		ヴぉ
ヴぉe		るぶ
るぶs		ヴぉへ
ヴぉへe	るぶぷ
ヴぉへf	るぶぼ
るぶf		ヴぉぱ
ヴぉぱe	るぶぶ
ヴぉぱs	るぶぐ
ヴぉs		るぐ
るぐe		ヴぉぷ
ヴぉぷs	るぐへ
ヴぉぷf	るぐぱ
るぐf		ヴぉぼ
ヴぉぼe	るぐぶ
ヴぉぼs	るぐぐ
.		す
すe		ヴぇ
ヴぇs		すへ
すへe		ヴぇぷ
ヴぇぷs	すへへ
ヴぇぷf	すへぱ
すへf		ヴぇぼ
ヴぇぼe	すへぶ
ヴぇぼs	すへぐ
ヴぇf		すぱ
すぱe		ヴぇぶ
ヴぇぶs	すぱへ
ヴぇぶf	すぱぱ
すぱs		ヴぇぐ
ヴぇぐe	すぱぷ
ヴぇぐf	すぱぼ
すs		ヴぃ
ヴぃe		すぷ
すぷs		ヴぃへ
ヴぃへe	すぷぷ
ヴぃへf	すぷぼ
すぷf		ヴぃぱ
ヴぃぱe	すぷぶ
ヴぃぱs	すぷぐ
ヴぃf		すぼ
すぼe		ヴぃぶ
ヴぃぶs	すぼへ
ヴぃぶf	すぼぱ
すぼs		ヴぃぐ
ヴぃぐe	すぼぷ
ヴぃぐf	すぼぼ
すf		ヴぁ
ヴぁe		すぶ
すぶs		ヴぁへ
ヴぁへe	すぶぷ
ヴぁへf	すぶぼ
すぶf		ヴぁぱ
ヴぁぱe	すぶぶ
ヴぁぱs	すぶぐ
ヴぁs		すぐ
すぐe		ヴぁぷ
ヴぁぷs	すぐへ
ヴぁぷf	すぐぱ
すぐf		ヴぁぼ
ヴぁぼe	すぐぶ
ヴぁぼs	すぐぐ
/		れ
れe		ぇ
ぇs		れへ
れへe		ぇぷ
ぇぷs	れへへ
ぇぷf	れへぱ
れへf		ぇぼ
ぇぼe	れへぶ
ぇぼs	れへぐ
ぇf		れぱ
れぱe		ぇぶ
ぇぶs	れぱへ
ぇぶf	れぱぱ
れぱs		ぇぐ
ぇぐe	れぱぷ
ぇぐf	れぱぼ
れs		ぃ
ぃe		れぷ
れぷs		ぃへ
ぃへe	れぷぷ
ぃへf	れぷぼ
れぷf		ぃぱ
ぃぱe	れぷぶ
ぃぱs	れぷぐ
ぃf		れぼ
れぼe		ぃぶ
ぃぶs	れぼへ
ぃぶf	れぼぱ
れぼs		ぃぐ
ぃぐe	れぼぷ
ぃぐf	れぼぼ
れf		ぁ
ぁe		れぶ
れぶs		ぁへ
ぁへe	れぶぷ
ぁへf	れぶぼ
れぶf		ぁぱ
ぁぱe	れぶぶ
ぁぱs	れぶぐ
ぁs		れぐ
れぐe		ぁぷ
ぁぷs	れぐへ
ぁぷf	れぐぱ
れぐf		ぁぼ
ぁぼe	れぐぶ
ぁぼs	れぐぐ
j		っ
っe		わ
わs		っへ
っへe		わぷ
わぷs		っへへ
っへへe	わぷぷ
っへへf	わぷぼ
わぷf		っへぱ
っへぱe	わぷぶ
っへぱs	わぷぐ
っへf		わぼ
わぼe		っへぶ
っへぶs	わぼへ
っへぶf	わぼぱ
わぼs		っへぐ
っへぐe	わぼぷ
っへぐf	わぼぼ
わf		っぱ
っぱe		わぶ
わぶs		っぱへ
っぱへe	わぶぷ
っぱへf	わぶぼ
わぶf		っぱぱ
っぱぱe	わぶぶ
っぱぱs	わぶぐ
っぱs		わぐ
わぐe		っぱぷ
っぱぷs	わぐへ
っぱぷf	わぐぱ
わぐf		っぱぼ
っぱぼe	わぐぶ
っぱぼs	わぐぐ
っt	つぉ
っi		び
びe	び	ゃ
びs	び	ょ
びf	び	ゅ
っa		じ
じe	じ	ゃ
じs	じ	ょ
じf	じ	ゅ
っs		あ
あe		っぷ
っぷs		あへ
あへe		っぷぷ
っぷぷs	あへへ
っぷぷf	あへぱ
あへf		っぷぼ
っぷぼe	あへぶ
っぷぼs	あへぐ
っぷf		あぱ
あぱe		っぷぶ
っぷぶs	あぱへ
っぷぶf	あぱぱ
あぱs		っぷぐ
っぷぐe	あぱぷ
っぷぐf	あぱぼ
あf		っぼ
っぼe		あぶ
あぶs		っぼへ
っぼへe	あぶぷ
っぼへf	あぶぼ
あぶf		っぼぱ
っぼぱe	あぶぶ
っぼぱs	あぶぐ
っぼs		あぐ
あぐe		っぼぷ
っぼぷs	あぐへ
っぼぷf	あぐぱ
あぐf		っぼぼ
っぼぼe	あぐぶ
っぼぼs	あぐぐ
っd		み
みe	み	ゃ
みs	み	ょ
みf	み	ゅ
っf		や
やe		っぶ
っぶs		やへ
やへe		っぶぷ
っぶぷs	やへへ
っぶぷf	やへぱ
やへf		っぶぼ
っぶぼe	やへぶ
っぶぼs	やへぐ
っぶf		やぱ
やぱe		っぶぶ
っぶぶs	やぱへ
っぶぶf	やぱぱ
やぱs		っぶぐ
っぶぐe	やぱぷ
っぶぐf	やぱぼ
やs		っぐ
っぐe		やぷ
やぷs		っぐへ
っぐへe	やぷぷ
っぐへf	やぷぼ
やぷf		っぐぱ
っぐぱe	やぷぶ
っぐぱs	やぷぐ
っぐf		やぼ
やぼe		っぐぶ
っぐぶs	やぼへ
っぐぶf	やぼぱ
やぼs		っぐぐ
っぐぐe	やぼぷ
っぐぐf	やぼぼ
っk		ひ
ひe	ひ	ゃ
ひs	ひ	ょ
ひf	ひ	ゅ
っ:		ぴ
っ'		ぴ
ぴe	ぴ	ゃ
ぴs	ぴ	ょ
ぴf	ぴ	ゅ
っx		ぬ
ぬe		っちぇ
っちぇe		ぬぷ
ぬぷs		っちぇへ
っちぇへe	ぬぷぷ
っちぇへf	ぬぷぼ
ぬぷf		っちぇぱ
っちぇぱe	ぬぷぶ
っちぇぱs	ぬぷぐ
っちぇf		ぬぼ
ぬぼe		っちぇぶ
っちぇぶs	ぬぼへ
っちぇぶf	ぬぼぱ
ぬぼs		っちぇぐ
っちぇぐe	ぬぼぷ
っちぇぐf	ぬぼぼ
ぬf		っぽ
っぽe		ぬぶ
ぬぶs		っぽへ
っぽへe	ぬぶぷ
っぽへf	ぬぶぼ
ぬぶf		っぽぱ
っぽぱe	ぬぶぶ
っぽぱs	ぬぶぐ
っぽs		ぬぐ
ぬぐe		っぽぷ
